Textbox18,State_Name_EN1,Textbox16,Textbox20,Textbox22,Textbox25,Textbox27,Textbox55,Textbox59,Textbox65,Textbox70,Textbox75,Textbox78,Textbox81,fps_count_added_under_panchayat,Textbox115,Textbox118,Textbox121,Textbox124,Textbox127,Textbox130,Textbox133,Textbox136
1,ANANTAPUR [553],0,25,5,278,"2,704","3,012",0,0,0,0,0,0,0,0,0,0,0,0,"2,895","3,008",24/07/2022
2,CHITTOOR [554],0,28,43,"1,354","1,476","2,901",0,0,0,0,0,0,0,0,0,0,0,0,"2,722","2,901",24/07/2022
3,EAST GODAVARI [545],0,0,0,1,"2,658","2,659",0,0,0,0,0,0,0,0,0,0,0,0,"2,399","2,638",24/07/2022
4,GUNTUR [548],0,52,26,"1,241","1,484","2,803",0,0,0,0,0,0,0,0,0,0,0,0,"2,697","2,802",24/07/2022
5,KRISHNA [547],0,102,12,793,"1,446","2,353",0,0,0,0,0,0,0,0,0,0,0,0,"2,186","2,352",24/07/2022
6,KURNOOL [552],0,38,0,"1,073","1,325","2,436",0,0,0,0,0,0,0,0,0,0,0,0,"2,326","2,422",24/07/2022
7,PRAKASAM [549],0,4,16,302,"1,828","2,150",0,0,0,0,0,0,0,0,0,0,0,0,"2,112","2,150",24/07/2022
8,SPSR NELLORE [550],0,7,1,593,"1,295","1,896",0,0,0,0,0,0,0,0,0,0,0,0,"1,837","1,895",24/07/2022
9,SRIKAKULAM [542],0,53,33,621,"1,306","2,013",0,0,0,0,0,0,0,0,0,0,0,0,"1,883","2,017",24/07/2022
10,VISAKHAPATANAM [544],0,50,3,22,"2,121","2,196",0,0,0,0,0,0,0,0,0,0,0,0,"1,617","2,196",24/07/2022
11,VIZIANAGARAM [543],0,4,7,287,"1,116","1,415",0,0,0,0,0,0,0,0,0,0,0,0,"1,347","1,407",24/07/2022
12,WEST GODAVARI [546],0,97,10,850,"1,263","2,220",0,0,0,0,0,0,0,0,0,0,0,0,"2,136","2,220",24/07/2022
13,Y.S.R. [551],0,2,23,150,"1,562","1,737",0,0,0,0,0,0,0,0,0,0,0,0,"1,622","1,730",24/07/2022
,Total: 13,0,462,179,"7,565","21,584","29,791",0,0,0,0,0,0,0,0,0,0,0,0,"27,779","29,738",

