NFSA Date wise sale for Allotted Month/Year November ' 2025 and Distributed Month/Year November ' Year 2025 (in MTs),,,,,,,
Distribution,Rice,FRice,Wheat,Atta,PMGKAY,PMGKAY,PMGKAY
Date,,,,,Rice,Wheat,Dal
26-10-2025,0,1614.553,0,0,0,0,0
27-10-2025,0,1390.981,0,0,0,0,0
28-10-2025,0,3022.95,0,0,0,0,0
29-10-2025,0,5352.275,0,0,0.24,0,0.001
30-10-2025,0,4597.097,0,0,82.314,0,2.477
31-10-2025,0,6879.033,0,0,309.09,0,8.431
01-11-2025,0,18762.091,0,0,573.107,0,13.158
02-11-2025,0,17727.52,0,0,706.631,0,16.445
03-11-2025,0,15548.003,0,0,693.539,0,15.429
04-11-2025,0,14516.458,0,0,793.141,0,16.072
05-11-2025,0,9360.825,0,0,548.789,0,9.62
06-11-2025,0,9379.42,0,0,451.58,0,8.064
07-11-2025,0,6829.211,0,0,415.967,0,8.405
08-11-2025,0,5444.76,0,0,286.223,0,6.481
09-11-2025,0,4863.915,0,0,180.742,0,5.305
10-11-2025,0,4008.585,0,0,102.272,0,3.18
11-11-2025,0,3539.637,0,0,111.188,0,3.612
12-11-2025,0,2645.268,0,0,65.864,0,2.915
13-11-2025,0,2138.32,0,0,33.453,0,2.089
14-11-2025,0,1972.475,0,0,44.705,0,1.756
15-11-2025,0,2076.329,0,0,89.654,0,3.403
16-11-2025,0,54.831,0,0,0,0,0
17-11-2025,0,37.83,0,0,0,0,0
18-11-2025,0,86.941,0,0,0.525,0,0.005
19-11-2025,0,2.99,0,0,0,0,0
20-11-2025,0,0.059,0,0,0,0,0
Total,0,141852.357,0,0,5489.024,0,126.848
Refresh Time : 2025-11-20 22:30:01,,,,,,,
